# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; Cons-HCR
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; dm_PCA(copy=True, iterated_power='auto', n_components=4, random_state=None, svd_solver='auto', tol=0.0, whiten=False)
# prediction_type; rolling
Cons-HCR;0;1;2;3
4.959094512;-27.2453544703;168.615191656;3.98063344438;-31.2031667799
4.002006187;-11.049414684;-86.1381681675;49.8170619474;4.72819147311
7.060151321;-224.702134401;57.7604541595;-14.2032653943;31.7297325664
-9.817812612;-225.29930821;-54.724051992;42.2877016607;29.736387329
5.329298382;127.241813938;22.4278732132;15.3528823398;40.5510905192
-10.90232001;24.8429716441;195.319244313;-15.1561094132;-22.5388991144
2.05626613;41.2993342469;-150.923851577;115.264772129;13.7768920798
0.853667536;-18.9166672678;-20.8284961921;-21.3522924081;5.08819980155
1.192082057;34.6813887723;-59.7331117032;13.713755182;-14.4188385674
5.68423213;113.967958652;-6.48180904214;-1.65781089686;-52.4645878154
3.61590669;152.260795618;121.531446914;0.75150709683;-50.2341649154
3.363913119;-16.7571025755;-37.5681031018;15.9559511997;-78.6691865006
3.281396581;250.581015689;-95.582019243;-36.0284068746;0.23450332683
3.146632258;-65.0165794265;-64.8655610341;-104.543552568;2.8813223532
0.270106027;-51.6735621836;-63.5561570378;41.7017619086;-71.1100649918
8.019514803;-94.9509967259;-2.0012202516;-24.5855490984;33.5013897514
3.792995628;-233.033904262;87.8240086087;-51.0313412388;-102.021267399
4.32831288;-208.819976912;-33.0658333944;36.3670145468;65.0696890337
0.466532807;62.7626635095;-24.5578489636;-29.3580569674;42.4457572115
0.672921543;168.03234219;49.8234228742;15.0339556908;-16.6095521329
-1.606531926;-105.972996311;-4.10500775799;-19.9227440507;71.8397491991
0.259554873;21.6820826024;-19.9011296185;17.2807090551;31.2340225032
-5.275949815;17.6877385014;106.668974343;-12.242090217;25.1926367181
-3.591731514;41.8168069934;-17.9510918207;8.19097709674;160.715625451
-1.914642666;120.776363092;4.70293055477;26.7607304797;-46.9348869918
5.453787577;107.480438379;-11.311665546;-35.3382219811;1.48878797435
1.888775807;-17.9832910814;38.294055824;27.1374526839;19.6224469628
6.38684303;91.2440688965;52.5332645818;27.7373975266;-12.5417203621
0.051509884;117.579921446;15.1805953309;-35.3843373913;20.5312940972
-14.58139685;55.506343343;106.328028208;-17.2601527528;-40.3336637339
2.343548648;-30.7173636911;25.7868288528;-50.0586163369;2.36607430932
-4.647177864;56.2122350376;-12.7009444331;5.36884795482;-0.34387928603
3.849782424;73.6763913794;42.6392028617;6.0434724603;-2.43629010278
3.338430984;5.95661340769;32.3563680907;19.7259615052;-39.729536236
15.83033432;74.0508747355;-5.45331557059;14.2115837603;-50.7788751044
9.721134831;112.454863481;-129.845562604;-55.9470429364;24.6759742756
8.473959231;5.3300948923;0.230249034859;-16.4812427596;-16.3722071594
15.35633349;-172.865465905;-26.310587985;10.1731235022;-49.2882325617
0.326359363;-114.54434328;-32.7924250057;8.48204738648;36.33757231
4.725558783;-176.463172297;56.3660568006;-8.01824442555;-12.9183458356
10.05112288;-29.5776515269;88.3774214751;8.5240136242;5.70608476528
10.2865345;102.730396985;-76.615738593;-1.06343972762;51.6199060348
6.598803874;8.44242206638;-12.1963236354;4.25155431069;35.0174275068
-2.072096151;1.50510035201;-43.0771850367;12.1818584256;-14.1852406812
-5.885985545;-98.4170267861;-65.5593079749;16.7027881192;-9.90558889088
-14.2169636;113.556026677;34.5083567822;-11.3037154207;20.2096447829
-2.465198399;-33.401269478;-32.3793338194;-34.8432275412;-21.1248783822
5.728672592;14.7331194023;11.075009017;-3.53848896059;-26.3349752734
10.77776178;-15.9810994724;9.90505122887;-33.1152786913;-13.7311593313
4.934829772;-12.4466708259;-9.14816863394;41.0999599637;-27.2659045046
7.779754179;-19.5716880989;-17.199305589;101.241933693;12.0023435285
-8.86629801;0.207271716222;-144.923068628;216.322712522;71.7572491983
14.40403507;18.6481795597;71.9137320082;2.05756272277;-39.9528875201
11.13655372;-84.1906867721;59.5636758255;-5.54342128495;5.38473905698
10.8348768;17.1048110771;48.8403336552;-134.996525353;15.7112485481
14.20914426;96.8881085527;-22.4951563904;19.6827920145;-11.7969574524
4.727466388;71.43935378;-38.6777653381;-50.1807346177;-30.9743043401
1.399859551;31.3991367274;35.8523833718;-17.2851112337;-67.6983573784
3.983497785;62.846566929;30.664646817;14.452943257;-5.65786072359
1.082948895;-46.9020528539;26.2271581741;-28.5927601408;-22.8225982438
-6.84548912;-180.699831087;34.2591791628;88.5761578407;15.6333112451
9.076807662;1.41722091594;40.4832926863;15.9414037158;-64.133037305
-0.111270806;18.0181686909;69.9612295578;-15.7608494507;124.632673149
7.496774328;15.4035499245;-2.48380573175;52.4463099928;-27.0493492286
-4.834780955;133.147301796;11.2075145122;40.5546779841;-62.0565589797
1.948264661;44.7410996852;38.9715977834;-131.385426963;22.0634854894
-12.40149602;2.45505258102;-27.1280485622;31.4202896042;-20.4873675975
0.529200606;11.6375599379;-27.2826261524;-18.9760941706;-22.9277176668
12.86117107;-8.88893425198;-50.687084505;-33.7280138502;1.5623937032
10.86170205;-69.4192925754;44.3080179711;65.9989549587;-15.0152887557
-3.037491704;0.800982583676;-20.5934324847;27.455662167;14.7200261797
