# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; HCE-ITA
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; dm_PCA(copy=True, iterated_power='auto', n_components=3, random_state=None, svd_solver='auto', tol=0.0, whiten=False)
# prediction_type; rolling
HCE-ITA;0;1;2
19.73095503;-27.2453544703;168.615191656;3.98063344438
-15.91427047;-11.049414684;-86.1381681675;49.8170619474
3.276361783;-224.702134401;57.7604541595;-14.2032653943
-16.96631723;-225.29930821;-54.724051992;42.2877016607
7.944385192;127.241813938;22.4278732132;15.3528823398
8.258974183;24.8429716441;195.319244313;-15.1561094132
-14.06239083;41.2993342469;-150.923851577;115.264772129
2.738551765;-18.9166672678;-20.8284961921;-21.3522924081
-1.38505546;34.6813887723;-59.7331117032;13.713755182
3.353814267;113.967958652;-6.48180904214;-1.65781089686
3.220365613;152.260795618;121.531446914;0.75150709683
24.105902;-16.7571025755;-37.5681031018;15.9559511997
-29.71284352;250.581015689;-95.582019243;-36.0284068746
-5.415818283;-65.0165794265;-64.8655610341;-104.543552568
4.812044584;-51.6735621836;-63.5561570378;41.7017619086
-9.057725081;-94.9509967259;-2.0012202516;-24.5855490984
26.28389562;-233.033904262;87.8240086087;-51.0313412388
-9.316434875;-208.819976912;-33.0658333944;36.3670145468
-9.750386834;62.7626635095;-24.5578489636;-29.3580569674
17.65724152;168.03234219;49.8234228742;15.0339556908
-14.46167157;-105.972996311;-4.10500775799;-19.9227440507
2.078578697;21.6820826024;-19.9011296185;17.2807090551
3.53590942;17.6877385014;106.668974343;-12.242090217
-9.890561263;41.8168069934;-17.9510918207;8.19097709674
-7.292532855;120.776363092;4.70293055477;26.7607304797
14.58307122;107.480438379;-11.311665546;-35.3382219811
-13.02553345;-17.9832910814;38.294055824;27.1374526839
-9.270214359;91.2440688965;52.5332645818;27.7373975266
-2.334784421;117.579921446;15.1805953309;-35.3843373913
13.84075533;55.506343343;106.328028208;-17.2601527528
1.702225445;-30.7173636911;25.7868288528;-50.0586163369
-0.01344278;56.2122350376;-12.7009444331;5.36884795482
6.386536532;73.6763913794;42.6392028617;6.0434724603
-3.484164059;5.95661340769;32.3563680907;19.7259615052
5.145773734;74.0508747355;-5.45331557059;14.2115837603
-4.587805726;112.454863481;-129.845562604;-55.9470429364
9.48781441;5.3300948923;0.230249034859;-16.4812427596
-11.17467193;-172.865465905;-26.310587985;10.1731235022
-3.892385182;-114.54434328;-32.7924250057;8.48204738648
6.67290819;-176.463172297;56.3660568006;-8.01824442555
7.106254052;-29.5776515269;88.3774214751;8.5240136242
-9.334672072;102.730396985;-76.615738593;-1.06343972762
3.781257058;8.44242206638;-12.1963236354;4.25155431069
9.958534948;1.50510035201;-43.0771850367;12.1818584256
-29.63592347;-98.4170267861;-65.5593079749;16.7027881192
13.18425667;113.556026677;34.5083567822;-11.3037154207
-0.018511234;-33.401269478;-32.3793338194;-34.8432275412
-4.457091389;14.7331194023;11.075009017;-3.53848896059
6.629207962;-15.9810994724;9.90505122887;-33.1152786913
8.851586571;-12.4466708259;-9.14816863394;41.0999599637
-7.200420261;-19.5716880989;-17.199305589;101.241933693
-0.547566164;0.207271716222;-144.923068628;216.322712522
1.086214739;18.6481795597;71.9137320082;2.05756272277
-9.303013442;-84.1906867721;59.5636758255;-5.54342128495
7.117834706;17.1048110771;48.8403336552;-134.996525353
10.94382787;96.8881085527;-22.4951563904;19.6827920145
3.404275867;71.43935378;-38.6777653381;-50.1807346177
-9.128182902;31.3991367274;35.8523833718;-17.2851112337
